id;word;definition;sourse_id
1;Берлин;Германия;1
2;Лондон;Великобритания;1
3;Париж;Франция;1
4;Москва;Россия;1
5;Санкт-Петербург;Российская Империя;1
6;Минск;Белоруссия;1
7;Вашингтон;США;1
8;Москва;СССР;1
9;Тирана;Албания;1
10;Рим;Италия;1
11;Мадрид;Испания;1
12;Пекин;Китай;1
13;Токио;Япония;1
14;Дели;Индия;1
15;Оттава;Канада;1
16;Бразилиа;Бразилия;1
17;Канберра;Австралия;1
18;Анкара;Турция;1
19;Сеул;Южная Корея;1
20;Джакарта;Индонезия;1
21;Каир;Египет;1
22;Претория;ЮАР;1
23;Мехико;Мексика;1
24;Буэнос-Айрес;Аргентина;1
25;Варшава;Польша;1
26;Киев;Украина;1
27;Астана;Казахстан;1
28;Хельсинки;Финляндия;1
29;Осло;Норвегия;1
30;Стокгольм;Швеция;1
31;Копенгаген;Дания;1
32;Брюссель;Бельгия;1
33;Берн;Швейцария;1
34;Вена;Австрия;1
35;Афины;Греция;1
36;Лиссабон;Португалия;1
37;Дублин;Ирландия;1
38;Прага;Чехия;1
39;Братислава;Словакия;1
40;Будапешт;Венгрия;1
41;Бухарест;Румыния;1
42;София;Болгария;1
43;Белград;Сербия;1
44;Загреб;Хорватия;1
45;Любляна;Словения;1
46;Вильнюс;Литва;1
47;Рига;Латвия;1
48;Таллин;Эстония;1
49;Рейкьявик;Исландия;1
50;Никосия;Кипр;1
51;Валлетта;Мальта;1
52;Люксембург;Люксембург;1
53;Монако;Монако;1
54;Вадуц;Лихтенштейн;1
55;Сан-Марино;Сан-Марино;1
56;Андорра-ла-Велья;Андорра;1
57;Подгорица;Черногория;1
58;Скопье;Северная Македония;1
59;Сараево;Босния и Герцеговина;1
